Antibiotic,Dosage
Amikacin,250 mg
Amoxicillin,125 mg
Amoxicillin,250 mg
Amoxicillin,500 mg
Amoxicillin,1 g
Amoxicillin + Clavulanic Acid,125 mg amoxicillin
Amoxicillin + Clavulanic Acid,25 mg clavulanic
Amoxicillin + Clavulanic Acid,250 mg
Amoxicillin + Clavulanic Acid,5 mg clavulanic
Amoxicillin + Clavulanic Acid,500 mg
Amoxicillin + Clavulanic Acid,125 mg
Amoxicillin + Clavulanic Acid,100 mg
Amoxicillin + Clavulanic Acid,200 mg
Ampicillin,500 mg
Ampicillin,1 g
Benzathine Benzylpenicillin,900 mg benzylpenicillin
Benzathine Benzylpenicillin,44 g benzylpenicillin
Benzylpenicillin,600 mg
Benzylpenicillin,3 g
Cefalexin,125 mg
Cefalexin,250 mg
Chloramphenicol,250 mg
Chloramphenicol,5 g
Chloramphenicol,150 mg
Chloramphenicol,1 g
Clindamycin,150 mg
Clindamycin,75 mg
Gentamicin,10 mg
Gentamicin,40 mg
Metronidazole,500 mg in
Metronidazole,200 mg
Metronidazole,500 mg
Metronidazole,1 g
Metronidazole,200 mg to
Nitrofurantoin,25 mg
Nitrofurantoin,100 mg
Phenoxymethylpenicillin,250 mg
Spectinomycin,2 g
Cefixime,200 mg
Cefixime,400 mg
Cefixime,100 mg
Cefuroxime,250 mg
Cefuroxime,750 mg
Cefuroxime,5 g
Ciprofloxacin,250 mg
Ciprofloxacin,2 mg
Piperacillin + Tazobactam,2 g
Piperacillin + Tazobactam,250 mg
Piperacillin + Tazobactam,4 g
Piperacillin + Tazobactam,500 mg
Vancomycin,125 mg
Vancomycin,250 mg
Ceftazidime,250 mg or
Ceftazidime,1 g
Ceftazidime + Avibactam,2 g
Ceftazidime + Avibactam,5 g in
Fosfomycin,2 g
Fosfomycin,4 g
Linezolid,2 mg
Linezolid,100 mg
Linezolid,400 mg
Linezolid,600 mg
Meropenem + Vaborbactam,1 g
Meropenem + Vaborbactam,1 g in
Plazomicin,500 mg
Clofazimine,50 mg
Clofazimine,100 mg
Dapsone,25 mg
Dapsone,50 mg
Dapsone,100 mg
Rifampicin,150 mg
Rifampicin,300 mg
Ethambutol,25 mg
Ethambutol,100 mg to
Ethambutol,400 mg
Ethambutol,100 mg
Rifampicin,275 mg
Rifampicin,75 mg
Rifampicin,400 mg
Isoniazid,50 mg
Isoniazid,100 mg to
Isoniazid,300 mg
Isoniazid,100 mg
Pyrazinamide,30 mg
Pyrazinamide,400 mg
Pyrazinamide,150 mg
Rifabutin,150 mg
Rifampicin,20 mg
Amikacin,100 mg
Amikacin,500 mg
Amikacin,1 g
Levofloxacin,250mg
Levofloxacin,500 mg
Levofloxacin,750 mg
Levofloxacin,100 mg
Linezolid,150 mg
Moxifloxacin,400 mg
Moxifloxacin,100 mg
Moxifloxacin,4 g in
Moxifloxacin,500 mg
